Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
GFSA.SCS01G02991,2018.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SCS01G02991,2019.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SCS01G02991,2020.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SCS01G02992,2009.06,5,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SCS01G02992,2010.06,3,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SCS01G02992,2011.06,4188,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SCS01G02992,2012.06,361,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SCS01G02992,2013.06,1,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SCS01G02992,2014.06,4,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SCS01G02992,2015.06,10,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SCS01G02992,2016.06,8,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SCS01G02992,2017.06,5,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SCS01G02992,2018.06,4,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SCS01G02992,2019.06,5,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SCS01G02992,2020.06,6,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SCS01G02998,2009.06,57681,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SCS01G02998,2010.06,53179,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SCS01G02998,2011.06,54678,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SCS01G02998,2012.06,58526,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SCS01G02998,2013.06,62193,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SCS01G02998,2014.06,65166,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SCS01G02998,2015.06,70009,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SCS01G02998,2016.06,74018,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SCS01G02998,2017.06,79458,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SCS01G02998,2018.06,84143,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SCS01G02998,2019.06,91431,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SCS01G02998,2020.06,89794,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SCS01G02Z99,2009.06,69229,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Total,,,,
GFSA.SCS01G02Z99,2010.06,66046,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Total,,,,
GFSA.SCS01G02Z99,2011.06,72303,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Total,,,,
GFSA.SCS01G02Z99,2012.06,72274,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Total,,,,
GFSA.SCS01G02Z99,2013.06,75845,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Total,,,,
GFSA.SCS01G02Z99,2014.06,79515,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Total,,,,
GFSA.SCS01G02Z99,2015.06,83841,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Total,,,,
GFSA.SCS01G02Z99,2016.06,88237,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Total,,,,
GFSA.SCS01G02Z99,2017.06,93810,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Total,,,,
GFSA.SCS01G02Z99,2018.06,98369,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Total,,,,
GFSA.SCS01G02Z99,2019.06,106736,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Total,,,,
GFSA.SCS01G02Z99,2020.06,104426,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Total,,,,
GFSA.SCS01G03210,2009.06,16203,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Employee expenses,,,,
GFSA.SCS01G03210,2010.06,16831,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Employee expenses,,,,
GFSA.SCS01G03210,2011.06,17523,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Employee expenses,,,,
GFSA.SCS01G03210,2012.06,18113,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Employee expenses,,,,
GFSA.SCS01G03210,2013.06,18487,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Employee expenses,,,,
GFSA.SCS01G03210,2014.06,18976,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Employee expenses,,,,
GFSA.SCS01G03210,2015.06,19709,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Employee expenses,,,,
GFSA.SCS01G03210,2016.06,20305,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Employee expenses,,,,
GFSA.SCS01G03210,2017.06,21140,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Employee expenses,,,,
GFSA.SCS01G03210,2018.06,22164,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Employee expenses,,,,
GFSA.SCS01G03210,2019.06,24237,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Employee expenses,,,,
GFSA.SCS01G03210,2020.06,26140,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Employee expenses,,,,
GFSA.SCS01G03220,2009.06,7740,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Purchases of goods and services,,,,
GFSA.SCS01G03220,2010.06,8072,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Purchases of goods and services,,,,
GFSA.SCS01G03220,2011.06,8395,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Purchases of goods and services,,,,
GFSA.SCS01G03220,2012.06,8428,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Purchases of goods and services,,,,
